Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Kesher Stam Inc,2817 W Touhy,Touhy/Western,10/28/2010,$149391.80,$74695.90,"build out,"
M Henry Bistro,1133-35 W Granville,Hollywood/Sheridan,10/28/2010,$299982.86,$149991.00,"restaurant build-out, facade, signage, landscaping outdoor diner."
Bumper City,821 N Cicero,Northwest Industrial Corridor,10/29/2010,$10794.97,$5397.00,"tuckpointing bathrooms, iron fence, parking lot paving, sidewalk, stair and stoop from parking lot"
Chef Luciano Inc,43-51 E Cermak,Michigan/Cermak,10/29/2010,$282350.55,$141175.00,"facade, storefront, roof, signage, electrical, floor, carpentry"
Chester Kiercul,4250 N Milwaukee,Portage Park,10/29/2010,$8450.00,$4225.00,Storefront
Imperial Lighting Maintenance Co,4555 N Elston,Lawrence/Pulaski,10/29/2010,$53203.00,$26601.50,Install New Heating and Air Conditioning System
Jewelry Design Ltd,2210 S Halsted,Pilsen ,10/29/2010,$30596.45,$22852.50,"Rear porch, deck"
State Farm Insurance,5616 W Montrose,West Irving Park,10/29/2010,$2896.00,$2172.00,"awning, aluminum capping, exterior trim"
True Value Hardware,4305-07 N Milwaukee,Portage Park,10/29/2010,$42075.00,$20487.50,"storefront, doors, windows, double door glass panels, brick foundation"
Chicago Turnrite,4459 W Lake,Northwest Industrial Corridor,11/01/2010,$74945.00,$37472.50,Exterior Facad and Roofing
1375 W Lake St LLC,1375 W Lake,Kinzie Industrial Corridor Industrial Corridor,11/02/2010,$900000.00,$150000.00,parking lot
Sports Awards,5544 W Armstrong,Elston/Armstrong,11/02/2010,$11846.00,$5923.00,"boiler, roof, signage, windows, parking lot"
Sports Awards,5544 W Armstrong,Elston/Armstrong,11/03/2010,$62508.00,$29310.92,"boiler, roof, signage, windows, parking lot"
Irving Park Chiropractic,1923 W Irving Park,Western Ave South,11/04/2010,$17390.00,$9564.50,"Roof repair, downspouts, water damage repair"
Smitten Boutique LLC,1041 W Madison,Near West,11/04/2010,$8200.00,$5733.75,Rooftop HVAC replacement
Mox Multisport,738 W Randolph,Near West,11/08/2010,$6569.24,$3284.62,"basement remodel, bathrooms, lighting, signage"
Southside Health Food Inc,8949 S Commercial,Commercial Avenue,11/29/2010,$240000.00,$17000.00,"storefront, tuckpointing, signage, drywall, ceiling, carpeting, fixtures and tile in bathroom"
Reggies Bar & Grill,2105-09 S State,Michigan/Cermak,12/08/2010,$90000.00,$45000.00,"masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?"
Pizza Forte,2210 N California,Fullerton/Milwaukee,12/09/2010,$16800.00,$7983.13,Complete Buildout
Beyond Design Inc,4521 N Ravenswood,Ravenswood,12/22/2010,$42235.07,$21117.54,Landscaping/Lighting
Reb Steele Corporation,4556 W Grand,Northwest Industrial Corridor,12/23/2010,$28633.20,$14316.60,"lighting retrofit,"
Ken Sakamoto DDS PC,3939 N Lincoln,Western Ave South,12/27/2010,$7884.00,$5913.00,HVAC
Crystal's Unisex ,1850 W 47th,47th/Ashland,12/28/2010,$30000.00,$22500.00,"storefront, gutters, insulation, siding, windows, doors, stucco, roofing"
Brad's Sales Company,6135 S Nottingham ,Harlem Industrial ,01/06/2011,$147200.00,$73600.00,"parking lot paving, iron fencing, installtion of catch basins, planting trees and bushes"
Cook Au Vin Inc,2569 N Milwaukee,Fullerton/Milwaukee,01/06/2011,$46735.50,$30970.50,"inerior renovations, bathroom, electrical, countertop, floor"
Orchestra Hall Recording Studio,2341 N Milwaukee,Fullerton/Milwaukee,01/06/2011,$8800.00,$6600.00,"roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows"
Concept Laboratories,1400 W Wabansia,North Branch (South),01/07/2011,$34500.00,$11465.71,"lighting, HVAC, drop ceiling, flooring, facade, security, electrical"
Robbins Management LLC,4401 N Ravenswood,Ravenswood,01/07/2011,$60700.00,$30350.00,Windows
Workforce Language Services LLC,"2934 N Milwaukee Ave, Suite C",Fullerton/Milwaukee,01/07/2011,$65195.98,$48896.99,office buildout
Midwest Screw Products ,3523 N Kenton,Portage Park,01/11/2011,$74848.50,$37424.25,"roofing, security system, different area of roofing,"
Precision Plating Company,4123 W Peterson ,Peterson/Pulaski,01/11/2011,$99072.00,$49536.00,"New Flooring. New Lighting New Doors Support Beams Repair Roof Window Covers Masonary, Tuck Pointing and Foundation Repair Building on Rogers"
Olympia Travel & Tax Services Inc,1904 W 47th,47th/Ashland,01/19/2011,$42836.00,$32127.00,"parking lot paving, fence, roof, floors, walls, interior"
New Age Chicago Furniture Co ,4236-40 S Cottage Grove,43rd/Cottage Grove,01/25/2011,$46000.00,$23000.00,"ceilings, roof, dry wall, floors"
Inspired Interiors Inc,4124 N Lincoln,Western Ave South,01/28/2011,$29394.38,$22045.79,"Interior, storefront"
Apartment Vigilantes LLC,4707 N Broadway,Lawrence/Broadway,01/31/2011,$64977.00,$48089.00,"office build-out, lighting, flooring, bathroom, wiring"
Zberry Inc ,1368 1/2 E 53rd,53rd Street,01/31/2011,$43850.00,$32887.50,"storefront, HVAC, electrical, plumbing, floor, signage, awning"
Grota Restaurant,3108-3112 N Central,Belmont/Central,02/01/2011,$211500.00,$105750.00,"windows, signage, awning, lighting, tuckpointing, floors, HVAC"
Marc Barney,4200 W Wrightwood,Pulaski Industrial,02/04/2011,$19600.00,$14700.00,"flashing, downspouts, fence, cover windows, redirect electric pipes"
Richard Romanow,4644 N Lincoln,Western Ave North,02/04/2011,$112057.00,$53090.00,"Electrical, HVAC, walls,floors,tuck pointing, pave parking lot,alarm,bathroom"
ATK Foods,1143 W Lake,Kinzie Industrial Corridor Industrial Corridor,02/07/2011,$84398.00,$42199.00,"Hallway & storage area repairs, refrigeration enhancements"
ABC Business Forms,5654 N Elston,Elston/Armstrong,02/09/2011,$6265.00,$3132.50,"roof, windows, signage, roof, tuckpointing, paint doors, storefront"
Frank A Edmunds & Co Inc,6111 S Sayre,Harlem Industrial ,02/10/2011,$16244.00,$8122.00,"new windows, doors, tuckpointing"
Baja Foods LLC,636 W Root,Stockyard Annex,02/16/2011,$74516.50,$37258.25,"paving, boiler"
Hank Tajkowski,4606 N Western,Western Ave North,02/17/2011,$53100.00,$39187.00,Roofing
Joseph P Minogue,4956-58 N Milwaukee,Jefferson Park ,02/17/2011,$30357.29,$22767.97,"facade, brickwork, chimney"
State Farm Insurance ,4465 N Milwaukee,Jefferson Park ,02/17/2011,$8212.00,$4106.00,"HVAC, door"
Total Image Salon & Spa,4452 N Western,Western Ave North,02/17/2011,$76103.43,$38051.72,Complete Renovation
Barkaat Foods LLC,3810 S Halsted,35th/Halsted,02/18/2011,$154000.00,$77000.00,Full rehab
Fashion Corner,1658 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,02/18/2011,$37700.00,$18850.00,"HVAC, doors, water heaters, plumbing, insulation, electrical, lighting, walls, ceiling"
Reggies Bar & Grill,2105-09 S State,Michigan/Cermak,02/19/2011,$109850.00,$20650.00,"masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?"
Law Offices of McCready,10008 S Western,Western Avenue/Rock Island,02/23/2011,$19150.63,$9575.32,"roof, parking lot, window, doors, insulation, signage, fence"
Vita Foods Products,2222 W Lake,Kinzie Industrial Corridor Industrial Corridor,02/24/2011,$84334.10,$47379.09,"roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer"
Oriental Kitchen Corp,223 N Justine,Kinzie Industrial Corridor Industrial Corridor,02/28/2011,$17612.00,$8806.00,"redesign rooms, reallocate freexer and cooler, roofing"
Arturo's TV Service ,1742 W 47th,47th/Ashland,03/01/2011,$35000.00,$26250.00,"awnings, roof"
M & M Box Partition Co,4141 W Grand,Pulaski Industrial,03/01/2011,$66341.00,$33170.50,"boiler, roof,"
P4P-MDW LLC dba Paradise 4 Paws,5262 S Kolmar,Midway Industrial Corridor,03/01/2011,$61024.70,$45768.53,"plumbing, electrical, carpentry, stucco, door mantles, concrete"
Annapurna Fast Food,2608 W Devon,Devon/Western,03/04/2011,$350000.00,$123300.00,Complete Renovation
Phoenix Bean LLC,5438 North Broadway,Bryn Mawr/Broadway,03/18/2011,$6700.00,$3350.00,
La Parrilla Columbian Steak House,6427 W Irving Park Rd,West Irving Park,03/22/2011,$84303.00,$63227.25,"flooring, build-out, bathrooms, ceilings, storefront, awning, lighting, door, plumbing, electrical, ventilation, security system"
Uru-Swati Companies LLC,2601 W Devon,Devon/Western,03/25/2011,$24000.00,$18000.00,
4353 Management LLC ,4353 N Western,Western Ave South,03/29/2011,$31367.00,$15683.50,"windows, tuckpointing, masonry,"
Active Roofing Company Inc ,855 W Erie ,Pilsen,03/29/2011,$303738.21,$150000.00,"Paving, Fencing, Electrical, Graffitt Removal, Exterior Painting, Roofing, Gutters, Downspouts. 1st and 2nd Floor Carpentry, Plumbing, HVAC, Electrical Flooring, Phone/Data, Bathroom Partitions."
All About Dance,501 W North,Near North,03/29/2011,$239678.97,$150000.00,complete build-out
Bozena Hadou,4255 & 4257 W Armitage,Armitage/Pulaski,03/29/2011,$55638.85,$41729.14,"Purchase of adjacent lot, sub floor rehab, iron fence"
Chgo Coast True Value,6942-44 N Western,Touhy/Western,03/29/2011,$49500.00,$27225.00,"masonry, lintels, landscaping, parking lot paving, stairs, signage, enclose dumpster"
Chicago Turnrite,4459 W Lake,Northwest Industrial Corridor,03/29/2011,$275515.00,$112528.00,Exterior Facad and Roofing
Chica's Secret Inc,3227 W Lawrence,Lawrence/Kedzie,03/29/2011,$151606.00,$63507.00,"Interior Renovation, hvac, electrical, storefront, signage"
CMJ Medical Enterprises,8507 S Stoney Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,03/29/2011,$7500.00,$5625.00,tuckpointing/masonry
Drummond Industries Inc,2616 N Cicero,Belmont/Cicero,03/29/2011,$18494.00,$7010.85,"windows, doors, and tuck-pointing"
Drummond Industries Inc,2616 N Cicero,Belmont/Cicero,03/29/2011,$274083.57,$142989.15,"facade, storefront, roof, windows"
Emerald Smoke MMA & Fitness,711 W Grand,River West,03/29/2011,$162024.80,$121518.60,"Inteior renovation: bathrooms, framing, electrical, plumbing, hvac, etc."
Facade Rebate Project,1763 W 95th,95th/Western,03/29/2011,$0.00,$1703.90,
Harry Kemperas,3251-57 W Bryn Mawr,Lawrence/Kedzie,03/29/2011,$10846.00,$5423.00,"roofing, paving"
Hemina Patel Insurance State Farm,3837 N Western,Western Ave South,03/29/2011,$20520.00,$15390.00,Green Projects Solar
In Ki Lee,3009-17 W Lawrence,Lawrence/Kedzie,03/29/2011,$30286.15,$15143.08,Garage doors
Inspired Interiors Inc,4124 N Lincoln,Western Ave South,03/29/2011,$23642.42,$17718.32,"Interior, storefront"
La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,03/29/2011,$215000.00,$107500.00,"Purchase of Adjacent Property, iron fencing"
La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,03/29/2011,$19812.00,$9906.00,"Purchase of Adjacent Property, iron fencing"
Lawrence Dental Group PC ,3607 W Lawrence,Lawrence/Kedzie,03/29/2011,$177994.85,$97897.17,"Interior Renovation, floors, doors, walls, ceiling, counters"
Lincoln Square Athletic Club LLC,4662 N Lincoln,Western Ave North,03/29/2011,$647280.23,$100000.00,Complete Renovation
Lysinski Ltd -Dental,4418 N Milwaukee,Jefferson Park ,03/29/2011,$106700.00,$53350.00,Interior Renovations
Mir Naghavi Facade Rebate Projcet,4661 N Kedzie,Lawrence/Kedzie,03/29/2011,$0.00,$35676.00,
Nikki Iran Tyler,526 E 43rd ,43rd/Cottage Grove,03/29/2011,$273000.00,$150000.00,Complete build out
Orchestra Hall Recording Studio,2341 N Milwaukee,Fullerton/Milwaukee,03/29/2011,$14900.00,$11175.00,Heating and cooling
Orchestra Hall Recording Studio,2341 N Milwaukee,Fullerton/Milwaukee,03/29/2011,$53852.00,$40389.00,"roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows"
Pastorelli Food Products Inc,901 W Lake,Kinzie Industrial Corridor Industrial Corridor,03/29/2011,$318120.00,$139535.00,"cement floor, expansion of production room"
Paws Naturals,950 W Monroe,Central West,03/29/2011,$61033.11,$30516.56,"signage, drywall, counter, shelving, lighting, concrete floor"
Polonia Home Health Care Center,4220 N Milwaukee,Portage Park,03/29/2011,$34901.07,$17988.85,"deck, masonry, electrical, HVAC, interior renovations"
Prepare To Win,4445 N Milwaukee,Jefferson Park ,03/29/2011,$143443.00,$50000.00,"HVAC, Facade, ADA compliance"
Ravenswood Center LLC ,4255 N Honore,Ravenswood,03/29/2011,$302854.37,$50000.00,Complete gut rehab
Sethness-Greenleaf Inc,1826 N Lorel,Galewood/Armitage Industrial,03/29/2011,$37467.03,$18733.52,"pavng, fencing, warehouse flooring"
SN Peck Builders Inc,1647 W Fulton,Kinzie Industrial Corridor Industrial Corridor,03/29/2011,$11268.00,$5634.00,"canopy, lintels, parapet wall, coating on roof, trimming"
Swing N Putt Youth Golf Foundation ,747-749 E 92nd,87th/Cottage Grove,03/29/2011,$9285.00,$6963.75,windows
Tyler Lane Construction,4200 W Victoria,Peterson/Pulaski,03/29/2011,$309688.00,$150000.00,Replacing the Roof & insulation
Vita Foods Products,2222 W Lake,Kinzie Industrial Corridor Industrial Corridor,03/29/2011,$205241.83,$102620.92,"roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer"
Harvest Christian Bookstore,10600 S Western,Western Avenue/Rock Island,03/30/2011,$49226.24,$24613.12,"storefront, awning, ADA ramp, parking lot, fence, landscaping, windows, stairs, signage,"
Doshi Distributers,2323 N Pulaski Rd,Pulaski Industrial,03/31/2011,$92860.00,$51073.00,Front Entrance Door Rear Dock & Parking Camera Tuck Pointing
Seoul Pharmacy Inc,3757 W Lawrence,Lawrence/Kedzie,03/31/2011,$78267.36,$19566.84,"tuckpointing, HVAC, parking lot, fence, roof, stairway"
Body Works Health & Wellness LLC,825 W Monroe,Near West,04/08/2011,$122680.00,$92010.00,Complete Rehab
Amour Salon,646-50 E 43rd,43rd/Cottage Grove,04/12/2011,$6674.13,$3337.07,"hvac, fixtures, ceiling"
Clark Glass Company,6315 N Clark,Clark/Ridge,04/12/2011,$10953.00,$8214.75,
Usmania Restaurant Inc,2253 W Devon,Devon/Western,04/12/2011,$95000.00,$71250.00,"Replacement of floor for kitchen and bathroom, Wall framing, new bathroom wallsm floor, and light fixtures, Replacement of 3 comp sink"
Ifeta Redzovic,4900 N Lincoln,Western Ave North,04/13/2011,$39600.00,$29700.00,"windows, doors, roofing, siding"
Pastorelli Food Products Inc,901 W Lake,Kinzie Industrial Corridor Industrial Corridor,04/13/2011,$318120.00,$10465.00,"cement floor, expansion of production room"
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,04/13/2011,$2000.00,$1500.00,
Big City Properties,4318 W Carrol,Northwest Industrial Corridor,04/14/2011,$19950.00,$9975.00,"fire pump feeders, asbestos removal"
Manuel Vavoulas,900-08 S California,Midwest,04/15/2011,$11686.76,$8765.07,"HVAC equipment & installation, Labor and materials"
ABC Business Forms,5654 N Elston,Elston/Armstrong,04/18/2011,$11718.00,$5859.00,"roof, windows, signage, roof, tuckpointing, paint doors, storefront"
Sethness-Greenleaf Inc,1826 N Lorel,Galewood/Armitage Industrial,04/18/2011,$55384.40,$27692.20,"fencing, flooring"
Ljubo Pejovic,5000-5008 N Sheridan Rd,Hollywood/Sheridan,04/26/2011,$18372.44,$9186.22,Windows
Jane Adams Delta Development,4410 N Ravenswood,Ravenswood,04/29/2011,$7450.00,$5587.50,Replacing chain link fence with wrought iron
Great Chicago Food & Beverage,3149 W Devon,Devon/Western,05/02/2011,$32100.00,$24075.00,
ABC Business Forms,5654 N Elston,Elston/Armstrong,05/06/2011,$7451.00,$3725.50,
P4P-MDW LLC dba Paradise 4 Paws,5262 S Kolmar,Midway Industrial Corridor,05/06/2011,$72308.63,$50000.00,"facade, build out, paving, hvac, electric, plumbing"
Plum Productions,1539 W Rosemont,Clark/Ridge,05/09/2011,$539050.00,$114000.00,complete renovation from fire station to productio co.
Steiner Industries,5801 N Tripp,Peterson/Pulaski,05/09/2011,$71184.70,$35592.35,"electric eye, hvac, roof"
Chicago-Springfield Accounting Service LLC,3848 W Chicago,Chicago/Central Park,05/11/2011,$20900.00,$15675.00,
Franklin Williams Enterprises Inc,3716 W Chicago,Chicago/Central Park,05/11/2011,$82811.00,$61875.00,
Solo Salon PC,1065 West Madison,Near West,05/11/2011,$78000.00,$39000.00,"Flooring, facade cleaning, insulation, ventillation system"
The Office LLC,5811 W Chicago,Austin Commercial,05/11/2011,$138216.00,$69108.00,"facade, floor, HVAC, electrical, fence"
Selvam Ltd Medical Clinic,946 W 79th,79th Street,05/12/2011,$25000.00,$18750.00,"flooring, windows, cabinets, parking lot, insulations"
Farhad Nikamalfard,1358 N Western,Humboldt Park,05/13/2011,$41661.49,$31246.12,
Reb Steele Corporation,4556 W Grand,Northwest Industrial Corridor,05/13/2011,$46970.00,$23485.00,
Urban Pooch Canine Life Center,4501 N Ravenswood,Ravenswood,05/13/2011,$231169.00,$94000.00,Build-out of doggie daycare and training fac.
Progressive Industries Inc,2733 N Pulaski,Pulaski Industrial,05/17/2011,$160596.57,$80298.29,
Usmania Restaurant Inc,2253 W Devon,Devon/Western,05/17/2011,$208500.00,$56250.00,"hvac, flooring, plumbing, kitchen, walk in cooler"
2016 Iowa LLC,4735 N Damen,Western Ave North,05/18/2011,$245700.00,$10000.00,Complete Renovation of two commercial spaces
Juan Martinez,4545 S Ashland,47th/Ashland,05/18/2011,$209072.32,$150000.00,"facade, roof, masonry, electrical, plumbing, HVAC, windows, interior, skylights,"
P4P-MDW LLC dba Paradise 4 Paws,5262 S Kolmar,Midway Industrial Corridor,05/24/2011,$92701.84,$54231.47,"facade, build out, paving, hvac, electric, plumbing"
Amour Salon,646-50 E 43rd,43rd/Cottage Grove,05/31/2011,$4260.00,$2310.31,"complete renovation, windows, tuckpointing"
Nobert Plating Co ,340 N Ashland,Kinzie Industrial Corridor Industrial Corridor,05/31/2011,$14565.40,$7282.70,
Daily Meat Supply inc,2323 W Fulton,Kinzie Industrial Corridor Industrial Corridor,06/01/2011,$1450000.00,$150000.00,Full Renovation
Clark St Dining Concern Inc,5721 N Clark,Clark/Ridge,06/02/2011,$144741.45,$72370.73,complete rehab
Than Tai Investments LLC,11316-20 S Michigan,Roseland/Michigan,06/02/2011,$137500.00,$102750.00,"tuckpointing, windows, roof, HVAC, structure repair and replacement"
A Gomez Tires & Wheels,5245-51 W Grand,Galewood/Armitage Industrial,06/03/2011,$22200.00,$16087.50,"facade, guard rails, windows, interior roling shutters"
Convenience for you Inc,5337 W Madison,Madison/Austin ,06/03/2011,$38900.00,$29175.00,"plumbing, glass front, concrete floor, framing, and electrical"
Garfield Waters Funeral Home,3409 W Madison,Midwest,06/03/2011,$5350.00,$2675.00,"parking lot purchase and paving, HVAC, landscaping, walls, fence,"
Steinhardt Builders Inc,6252 N Lincoln,Lincoln Avenue,06/03/2011,$65450.00,$49087.50,
Yeimi's Unisex Beauty Salon,1823 W Irving Park,Western Ave South,06/03/2011,$20000.00,$15000.00,"plumbing, electrical, framing, flooring,"
Zberry Inc ,1368 1/2 E 53rd,53rd Street,06/03/2011,$91353.00,$36612.00,"storefront, HVAC, electrical, plumbing, floor, signage, awning"
Larry Little Inc / THE ACT Group,6226 N Broadway,Hollywood/Sheridan,06/10/2011,$232835.20,$150000.00,Facade repair and complete rehab
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,06/14/2011,$3841.00,$2880.75,sewer cleanout plumbing
Gateway to Learning,4925 N Lincoln,Western Ave North,06/15/2011,$75800.00,$37900.00,HVAC
4353 Management LLC ,4353 N Western,Western Ave South,06/24/2011,$14275.00,$4714.83,"windows, tuckpointing, masonry,"
ABC Business Forms,5654 N Elston,Elston/Armstrong,06/24/2011,$5300.00,$2650.00,"roof, windows, signage, roof, tuckpointing, paint doors, storefront"
DAT Old Fashioned Donuts,8247-51 S Cottage Grove,87th/Cottage Grove,06/24/2011,$105000.00,$78750.00,"landscaping, facade, parking lot, signage, awnings, flooring. Plumbing, electrical, security, hvac,"
Ecolit,1939-59 W Fulton,Kinzie Industrial Corridor Industrial Corridor,06/24/2011,$42900.00,$32175.00,"roof, HVAC, windows, doors, fence, roof insulation, paving, tuckpointing"
Empire Cooler Service,940 W Chicago,River West,06/24/2011,$68930.40,$34465.20,"Replace Interior and Exterior Staircase Rehab Parking Lot Implement Energy Improvement Plan Replace Air Conditioner, Remodel Woman's Basement & Customer Main Floor Restoroom Install Large Sign on roof"
Harbro Packaging Company,2635 N Kildare,Pulaski Industrial,06/24/2011,$64180.00,$32090.00,Windows Replacement
Inspired Interiors Inc,4124 N Lincoln,Western Ave South,06/24/2011,$18937.26,$11089.57,"Interior, storefront"
Mercury Plastics,4535 W Fullerton,Northwest Industrial Corridor,09/29/2011,$12270.00,$6135.00,"electrical, windows"
Kenwood Oakland Community Organization Rod Wilson,4242 S Cottage Grove,43rd/Cottage Grove,06/24/2011,$51580.00,$25790.00,Complete Interior Renovation
La Villa Restaurant Inc,3632-38 N Pulaski,Avondale,06/24/2011,$29140.00,$14570.00,
Progressive Industries Inc,2733 N Pulaski,Pulaski Industrial,06/24/2011,$73616.13,$36808.07,"Expansion, build-out"
Sunny 2000 Corp,5524-26 N Lincoln,Lincoln Avenue,06/24/2011,$300000.00,$150000.00,Build out
Demera Ethiopian Restaurant,4801 N Broadway,Lawrence/Broadway,06/28/2011,$45000.00,$33750.00,
Lickity Split Frozen Custard & Sweets,6056 N Broadway,Hollywood/Sheridan,06/29/2011,$57679.00,$43259.25,
Kenwood Oakland Community Organization Rod Wilson,4242 S Cottage Grove,43rd/Cottage Grove,06/30/2011,$22810.00,$11405.00,
Forest Glen Animal Hospital,5324 N Elston,Elston/Armstrong,07/05/2011,$21171.00,$15878.25,"roof, fence"
1756 W Lake LLC,1756 W Lake,Kinzie Industrial Corridor Industrial Corridor,07/15/2011,$32000.00,$16000.00,"Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building."
1800 W Lake LLC,1800 W Lake,Kinzie Industrial Corridor Industrial Corridor,07/15/2011,$95400.00,$47700.00,"Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building."
Bozena Hadou,4255 & 4257 W Armitage,Armitage/Pulaski,07/15/2011,$77229.50,$57922.13,"interior rehab, HVAC"
DA Amato LLC,6853-55 W 60th PL,Harlem Industrial ,07/15/2011,$74753.75,$47737.80,roof
Sinha Ltd,2018 W Adams,Central West,07/15/2011,$9000.00,$6750.00,
CLCET Inc,2938 E 91st ,Commercial Avenue,07/18/2011,$53660.00,$40245.00,
Farhad Nikamalfard,1358 N Western,Humboldt Park,07/18/2011,$13618.45,$10213.84,complete rehab
Skolnik Industries,4900 S Kilbourn,Midway Industrial Corridor,07/18/2011,$309087.25,$150000.00,"lighting, facade lentil, drains and walls, resurface curbing, doors"
Villa Roma Hair Designers,3936 N Cicero,Portage Park,07/18/2011,$22000.00,$16500.00,"floor, update work station, electrical, plumbing, doors,"
Manuel Vavoulas,900-08 S California,Midwest,07/19/2011,$29915.15,$22436.36,
Apatura Studio Inc,1023 W Jackson Blvd,Central West,07/20/2011,$98010.67,$73508.00,Complete rehab
Lickity Split Frozen Custard & Sweets,6056 N Broadway,Hollywood/Sheridan,07/20/2011,$50000.00,$37500.00,
North Kenwood Day Care Center,516 E 43rd,43rd/Cottage Grove,07/20/2011,$108017.00,$81012.75,"facade, tuckpointing, HVAC, roof, canopy, paint fence."
Genesis Beauty Salon,1300 S Springfield,Midwest,07/21/2011,$77500.00,$38750.00,Complete Renovation
K + J International,5860 N Pulaski Rd,Peterson/Pulaski,07/22/2011,$153912.00,$76956.00,"Roofing, garage, dock doors"
Windy Knitty LLC,5653 N Clark,Clark/Ridge,07/27/2011,$52358.74,$39269.06,"framing, millwork, electrical, cabinetry, countertops, flooring, painting"
Stephen Garrett Photography,1366 W Lake,Kinzie Industrial Corridor Industrial Corridor,08/04/2011,$2745.00,$1372.50,"electrical, signage, windows, lighting, security system, floors, plubming, HVAC, bathrooms, solar panels"
Nobert Plating Co ,340 N Ashland,Kinzie Industrial Corridor Industrial Corridor,08/05/2011,$11818.15,$5909.08,"facade, tuck-pointing, environmental remediation,"
Brian Farquhar,4030 S Cottage Grove,43rd/Cottage Grove,08/11/2011,$261733.00,$52455.00,Complete Renovation
Uru-Swati Companies LLC,2601 W Devon,Devon/Western,08/11/2011,$59756.16,$44817.12,Interior renovations
Yeimi's Unisex Beauty Salon,1823 W Irving Park,Western Ave South,08/11/2011,$23500.00,$17625.00,"doors, floor, roof, sign removal, ventilation, plumbing, electricity, bathroom, walls"
Parkland Properties LLC,4201-03 W North ,Pulaski Industrial,08/16/2011,$32830.00,$24622.50,New Ceiling & Lighting in Bedroom and Furniture Roof Tear Off & Industrial Rubber Roof New Commerclai Floor New Furnace Install New Center Door Facade
CLCET Inc,2938 E 91st ,Commercial Avenue,08/17/2011,$125340.00,$72255.00,"Roof, tuckpointing"
Great Chicago Food & Beverage,3149 W Devon,Devon/Western,08/18/2011,$30000.00,$22500.00,
Architech's Inc ,2541 W Division,Humboldt Park,09/30/2011,$225435.00,$79542.15,Complete Renovation
La Parrilla Columbian Steak House,6427 W Irving Park Rd,West Irving Park,08/18/2011,$31916.69,$8914.10,"flooring, build-out, bathrooms, ceilings, storefront, awning, lighting, door, plumbing, electrical, ventilation, security system"
Dayton Auto Rebuilders Inc,6843 W 60th PL,Harlem Industrial ,08/22/2011,$69669.24,$32222.85,roof
See and Save Optical ,2822 W Devon,Devon/Western,08/24/2011,$6200.00,$4650.00,
VMZ Industries,7401 S Pulaski,Greater Southwest West,08/24/2011,$97075.00,$48537.50,"water sprinkler replacement, fans, concrete work, repair facade"
Barkaat Foods LLC,3810 S Halsted,35th/Halsted,08/25/2011,$146000.00,$73000.00,Full rehab
Bubbly Dynamics LLC,1400 W 46th,47th/Ashland,08/25/2011,$32542.69,$24407.02,Window replacement
Chicago-Springfield Accounting Service LLC,3848 W Chicago,Chicago/Central Park,08/25/2011,$35300.00,$26475.00,"facade repair, new roof, heating systems, bathrom, plumbing system, interior walls, electrical improvements, new ceiling, back porch/storage area"
Demera Ethiopian Restaurant,4801 N Broadway,Lawrence/Broadway,08/25/2011,$70000.00,$24000.00,"bathrooms, floor, canopy, lighting, server station, basement remodel, kitchen, water heater"
Empire Cooler Service,940 W Chicago,River West,08/25/2011,$9225.00,$4612.50,
Law Offices of McCready,10008 S Western,Western Avenue/Rock Island,08/25/2011,$5420.00,$2710.00,"roof, parking lot, window, doors, insulation, signage, fence"
Lincoln Square Athletic Club LLC,4662 N Lincoln,Western Ave North,08/25/2011,$647280.23,$50000.00,Complete Renovation
ATK Foods,1143 W Lake,Kinzie Industrial Corridor Industrial Corridor,08/26/2011,$185086.00,$84623.50,"Hallway & storage area repairs, refrigeration enhancements"
Nobert Plating Co ,340 N Ashland,Kinzie Industrial Corridor Industrial Corridor,08/31/2011,$26383.55,$13191.78,"facade, tuck-pointing, environmental remediation,"
Chicago-Springfield Accounting Service LLC,3848 W Chicago,Chicago/Central Park,09/02/2011,$56200.00,$42150.00,"facade repair, new roof, heating systems, bathrom, plumbing system, interior walls, electrical improvements, new ceiling, back porch/storage area"
Steiner Industries,5801 N Tripp,Peterson/Pulaski,09/06/2011,$174785.14,$87392.57,"electric eye, hvac, roof"
Bubbly Dynamics LLC,1400 W 46th,47th/Ashland,09/07/2011,$32542.69,$24407.02,
Convenience for you Inc,5337 W Madison,Madison/Austin,09/07/2011,$25220.00,$18915.00,"epoxy flooring, HVAC, and doors"
