X,Y,OBJECTID,PROGRAM_ID,AGENCY_ID,NAME,ADDRESS,ADDRESS2,ZIPCODE,AKA,PHONE,PHONE2,PHONE3,PHONE4,PHONE5,PHONE1_DESCRIPTION,PHONE2_DESCRIPTION,PHONE3_DESCRIPTION,PHONE4_DESCRIPTION,PHONE5_DESCRIPTION,FAX,WEB_URL,EMAIL,BUSINESS_HOURS,ELIGIBILITY,FEES,INTAKE,LANGUAGES,AREA_SERVED,DOCUMENTATION,DIRECTIONS,TRANSPORTATION,QUADRANT,PAYMENT_METHODS,VOLUNTEER_OPPORTUNITIES,SEASON_START_DATE,SEASON_END_DATE,WAIT_LIST_PERIOD,HANDICAP,PUBLIC_RECORD,SEARCHABLE_AREA,DIRECTOR,TITLE,WEB_WARD,DESCRIPTION,ADDRESS_ID,KEYWORD
-77.034922739063205,38.922488908863293,1458,DCAP0344AA,DCAP0344,Homeless Childrens Tutorial Project - Project Northstar,2437 15TH STREET NW,,20009,Homeless Children's Tutorial Project,(202) 223-0144,,,,,Main Number,,,,,(202) 296-7543,http://www.projectnorthstar.org,office@projectnorthstar.org,"6:30 am - 8:00 pm, Monday, Tuesday (Tutoring hours); 9:00 am - 5:00 pm, Monday, Tuesday; 9:00 am - 6:00 pm, Wednesday - Friday (Office)","Children (first grade and above), residents of Park Road Shelter, Spring Road Shelter, Edgewood and Brentwood public housing, Beacon House or Brookland Manor Boys & Girls Clubs.  Training is provided to potential tutors.",None,Telephone,,"Wards 2, 5, 6","Permission Slip, Referral",,Provided to and from tutorial sites,NW,"No Payment,","Anytime, Mornings",,,,,1,,Brian Carome,Executive Director,,"Prepares homeless, formerly homeless and at-risk children to perform better in school by providing them with consistent one-on-one educational assistance, positive role models and extracurricular activities in a supportive atmosphere that stresses the im",234197,Education-Literacy
-77.033154800080311,38.925726293821846,1459,DCAP0543AB,DCAP0543,Community of Hope - Girard Street,1413 GIRARD STREET NW,,20009,,(202) 232-7356,,,,,Main Number,,,,,(202) 230-1014,www.communityofhopedc.org,kmcshane@communityofhopedc.org,"9:00 am - 5:00 pm, Monday - Friday",Referral from Virginia Williams Family Resource Center ONLY,,By referral,,District of Columbia,,,,NW,,,,,,,1,,Kelly Sweeney McShane,Executive Director,,"Offers apartment-style transitional housing for families referred from the Virginia Williams Family Resource Center only.  Social work staff work with each family offering supportive services, after-school programs and access to health services via the c",234321,Housing-Com. Res. Facil. (CRF)
-77.040476528604898,38.919343030871822,1460,DCAP0543AC,DCAP0543,Community of Hope - Health Center,2250 CHAMPLAIN STREET NW,,20009,,(202) 232-9022,,(202) 232-9091,,,Health Center,,Administrative Number,,,(202) 230-1014,www.communityofhopedc.org,info@communityofhopedc.org,"9:00 am - 5:00 pm, Monday, Tuesday, Wednesday; 1:00 pm - 8:00 pm, Thursday; 9:00 am - 12:00 pm, Friday",,"Sliding Scale if no insurance, Set fee","Telephone, By Appointment",,Primarily Columbia Heights neighborhood,,,,NW,"Private Insurance, Medicaid, Medicare,",,,,,,1,,Kelly Sweeney McShane,Executive Director,,"Provides primary health care, outreach, and health education services.  Also offers well woman care, prenatal and pediatric care, psychological assessments, substance abuse services and HIV/AIDS testing, education and counseling for individuals and famil",303241,Health-Clinics
-76.984233382078457,38.836132399317769,1461,DCAP0473AC,DCAP0473,DC Superior Court - Domestic Violence Intake Center - SE,1328 SOUTHERN AVENUE SE,"Greater SE Hospital, Room #311",20001,"Domestic Violence Southeast Intake Center, Greater Southeast Hospital",(202) 561-3000,,,,,Intake Number,,,,,(202) 879-4829,http://www.dcsc.gov,,"8:00 am - 3:30 pm, Monday - Friday","DC Resident, threats to do bodily harm, physical abuse or destruction of property (event must have occurred in DC)",No fee for TPO,"Telephone or Walk-In for information, Cases to apply for TPO must be seen in person",English,District of Columbia,Valid Picture ID,Metro Rail Stop: Southern Avenue (Green Line),,SE,"No Payment,",,,,,Designated Parking,1,,,,,"Enables victims of domestic violence to file for a temporary protection order (TPO) on the basis of alleged domestic violence, receive legal counsel and support services, and meet with an advocate from the Court's Crime Victim's Compensation Program to f",286060,Court Records
-77.028332668276448,38.916746982260811,1,DCAP0001AA,DCAP0001,Washington Legal Clinic for the Homeless,1200 U STREET NW,,20009,WLCH,(202) 328-5500,,,,,Main Number,,,,,(202) 328-5515,http://www.legalclinic.org,washlch@erols.com,"9:00 am - 5:30 pm, Monday - Friday (varies at each client site)","DC residents, homeless, or at risk of becoming homeless",No Fee,"Telephone (for listing of current sites);  Walk-In (ask for the Legal Clinic staff)","English, Spanish (receptionist speaks Spanish)",District of Columbia,,"Metro Rail Stop:  U Street/Cardozo (Green Line); Metro Bus Route:  90's",,NW,"No Payment,",,,,,"Outside Ramps, Elevators or None Needed",1,*DC_______,Patricia Mullahy Fugere,Executive Director,,"Provides free legal services to those who are homeless or at risk of becoming homeless. Provides intake services at area shelters and community organizations.  Offers legal advice on matters such as landlord tenant issues, subsidized housing, food Stamps",240812,Legal-Representation
-77.031152832014058,38.912376049839004,2,DCAP0002AA,DCAP0002,SOME - Anna Cooper House,1338 R STREET NW,,20009,So Others May Eat,(202) 328-6644,,,,,Intake Number,,,,,(202) 667-5475,http://www.some.org,,"8:00 am - 6:00 pm, Monday - Friday (Administrative)","Adults only, no drugs or alcohol, no history of violence, stable source of income","Sliding Scale, Section 8 or Housing Voucher","Telephone, By Appointment",English,District of Columbia,"Social Security Card, ID Card, Green Card, Birth Certificate, Income Verification, Housing Voucher, Police Report, TB Test","Metro Rail Stop: U Street (Green Line), six blocks;  Metro Bus Route: 1-6 blocks",,NW,,,,,,,1,*DC_______,Seth Greenblatt,Program Coordinator,,"Provides long term temporary housing to formerly homeless low-income individuals, in a drug and alcohol free environment.  Provides single rooms for men or women, no children or pets.  Residents must have a stable source of income.",242888,Housing-Affordable
-77.039388807750427,38.905407769422048,3,DCAP0004AA,DCAP0004,Adoption Center of Washington,1726 M STREET NW,Suite 1101,20036,ACW,(202) 452-8278,,,(800) 452-3676,,Intake Number,,,Toll Free Number,,(202) 452-8280,,linda@adoptioncenter.com,"9:00 am - 5:00 pm, Monday - Friday; Some Tuesday Evenings","Prospective parents must be between the ages 25-50, single or married","Initial meeting is free; Classes charge a $4,000 agency fee; Checks accepted.","Telephone, By Appointment","Russian, Chinese",District of Columbia,None,Metro Rail Stop: 1 block from Farragut North (Red line),,NW,"Other,",,,,180,"Indoor Wheelchair, Elevators or None Needed",1,,Linda Brownlee,Executive Director,,Seeks to improve the quality of life and expand the opportunities of orphans through adoption. This is a licensed non-profit child-placing agency committed to ethical practices. Creates and sponsors parent education programs and provides support and guid,241792,Adoption
-77.034067669373897,38.905118472517152,4,DCAP0005AA,DCAP0005,American Council of the Blind,1155 15TH STREET NW,Suite 720,20005, ACB,(202) 467-5081,,,(800) 424-8666,,Main Number,,,Toll-Free Number,,(202) 467-5081,http://www.acb.org, info@acb.org,"9:00 am - 5:00 pm, Monday - Friday",All DC residents,No Fee,Telephone,English,District of Columbia,None,Metro Rail Stop:  McPherson Square, None,NW,"No Payment,",Anytime,,,,Elevators or None Needed,1,,Charles Crawford,Executive Director,,"Provides blind people with scholarships, legal assistance, crisis support, a free monthly magazine, and referrals to education, rehabilitation, jobs, recreation and adaptive aids services.",240252,Braille
-77.020287239005199,38.956158886364221,5,DCAP0006AA,DCAP0006,Barney Neighborhood House - Senior Program,504 KENNEDY STREET NW,,20011,BNHSP,(202) 939-9020,,,,,Intake Number,,,,,(202) 939-5755,http://www.barneyneighborhoodhouse.org/barney_neighborhood_house001.htm,mail@barneyneighborhoodhouse.org,"8:30 am - 4:30 pm, Monday - Friday","Senior citizens ages 60 years or older, District of Columbia residents",No Fee,"Telephone, By Appointment, Walk-In","English, Spanish",Residents of Wards 1 and 4 of the District of Columbia,"Social Security Card, Client's Address, Telephone, Date of Birth, Medical and Physical Needs",,Provided by 3 centers and by other centers during special events and for those eligible for home bound meals,NW,"Other,",,,,,,1,,Donna S. Dunston,Project Director,,"Provides comprehensive social services and nutrition programs for the elderly at 15 centers located throughout wards 1 and 4.  Services include congregate meals, recreation, socialization, health promotion, transportation to medical appointments, and spe",285060,Seniors
-76.986088383468527,38.931613408760995,6,DCAP0009AA,DCAP0009,Bethlehem House,1401 LAWRENCE STREET NE,,20017,,(202) 526-3222,(202) 635-1532,,,,Intake Number,Business Number,,,,,,,Open 24 Hours,"Developmentally Disabled/Mentally Retarded:  Involved in day programs, ambulatory, have self-help skills, have current IHP and must contribute to room and board",Sliding scale with a maximum of $600 per month for room and board (accepts Social Security insurance),By Appointment (interview and background information),English,District of Columbia,"IHP, Immunization Records","Metro Rail Stop: Brookland (Red Line) , 6 blocks from Metro; Metro Bus Route:  14th Street",None,NE,"Other,",,,,,,1,,Delores Wilson,Director,,Operates as a licensed Certified Residence Facility for mentally retarded persons. ,65115,Housing-Disabled
-77.01916353624226,38.902199647956138,7,DCAP0008AA,DCAP0008,Calvary Women's Services - Calvary Women's Shelter,928 5TH STREET NW,,20001,,(202) 783-6651,,,,,Intake Number,,,,,(202) 783-4219,http://www.calvaryservices.org,calvaryshelter@aol.com,"10:00 am - 10:30 pm, Sunday - Friday (Administrative); 24-hours (Shelter)","Single women, ages 18 and older",No fee,"Walk-In, (waitlist is taken at 7:00 pm), Telephone",English,District of Columbia,None,"Metro Rail Stop: Gallery Place (4 blocks); Metro Bus Route: B6 (stops in front of building), X buses (stop 2 blocks away)",Residents are provided with tokens for case management.,NW,"No Payment,",Mornings,,,,Indoor Wheelchair,1,, Kris Thompson,Executive Director,,"Provides short-term shelter and supportive services for women.  Offers case management, mental health services, substance abuse services, life skills development programs, and referrals for job training.  Services provided on a walk-in basis - no referra",278820,Homeless-Women
-76.941663982035564,38.89066558454433,8,DCAP0008AB,DCAP0008,Calvary Women's Services - Sister Circle Housing Program,4210 EAST CAPITOL STREET NE,,20019,,,,(202) 783-6651,,,,,Administrative number,,,(202) 783-4219,www.calvaryservices.org,calvaryshelter@aol.com,"Office hours: 10:00 am - 6:30 pm (Administrative); 24-hours (Program)","Accepts women with a history of homelessness, addiction and specific medical conditions","Sliding scale, Residents with income must pay 30% towards rent those without income do not have to pay","Referral required from transitional program or agency, Telephone, Walk-In",English,District of Columbia,Application with proof of medical conditions and substance addiction,Metro Rail Stop: Benning Road (Green Line) 3 blocks,Transportation provided for case management appointments only,NE,"No Payment,",,,,,"Designated Parking, Outside Ramps",1,,Kris Thompson,Executive Director,,"Provides 2 bedroom apartments to homeless women in recovery from substance abuse who also have medical conditions.  Offers case management, support groups, furniture and utility assistance to residents of this program only.
",148680,Homeless-Women
-77.032565581699728,38.902908881311241,9,DCAP0011AA,DCAP0011,Better Business Bureau,1411 K STREET NW,10th Floor,20005,BBB,(202) 393-8000,,,,,Public Number,,,,,(202) 393-1198,http://www.mybbb.org,info@dc.bbb.org,"8:00 am - 5:00 pm,  Monday - Friday (Operator Assistance); Open 24 Hours (Automated Telephone Number)",None,No Fee,"On-line, Telephone, Walk-In, Mail, Fax",English,"District of Columbia, Northern Virginia, Southern Maryland",None,"Metro Rail Stop:  McPherson Square (Red Line), 2 blocks from Metro",None,NW,"No Payment, Medicaid,",,,,,"Indoor Wheelchair, Elevators or None Needed",1,,Edward Johnson,President and CEO,,"Provides dispute resolution, reliability reports and general advice on the marketplace.  
",218114,Consumer Complaints
-77.09495165508271,38.945050642305198,10,DCAP0013AA,DCAP0013,"American University, Washington College of Law - Law Clinic",4801 MASSACHUSETTS AVENUE NW,,20016-8184,Law Clinic,(202) 274-4140,,,,,Intake Number,,,,,(202) 274-0659,,,"9:00 am - 5:00 pm, Monday - Friday",Income Limitations,No Fee,Telephone,TDD and some Spanish,District of Columbia (no criminal cases),,"Metro Rail Stop:  Tenleytown (Red Line), 10 blocks; Metro Bus Route:  N2, N4, N6,  1 block; AU Shuttle",,NW,"No Payment,",,,,,"Designated Parking, Indoor Wheelchair, Outside Ramps, Elevators or None Needed",1,,Stephanie Ann Fitts,Program Administrator,,"Provides a variety of clinics including civil practice, community and economic development, criminal justice (Montgomery County only), DC Law students in court, domestic violence, federal tax (federal tax court cases only), international human rights law",269573,Legal-Aid
-76.986972357208941,38.881465920780016,11,DCAP0014AA,DCAP0014,Board of Child Care,1338 G STREET SE,,20003,,(202) 291-3330,(202) 544-0385,,,,Intake Number,Alternative Number,,,,(202) 291-3444,http://www.boardofchildcare.org/,,,"25 or older; must pass licensing process; training 30 hours; paperwork must meet regulations",No fee,"Telephone, By Appointment; Referral required",English,District of Columbia,"Birth Certificate; child abuse clearance; police check; medical evaluation; references",Metrobus route 1 block from agency,,SE,"No Payment, Private Insurance, Medicaid,",Mornings,,,180,"Outside Ramps, Other",1,,Susan Pascale,Director,,"Provides foster homes in DC and Maryland for children of Washington, DC who need foster care services.  Offers intensive supportive services for foster families, children and birth families working towards reunification with their children.",66900,Foster Care
-77.021627246248372,38.910339433449558,12,DCAP0016AA,DCAP0016,Bread for the City - Legal Clinics,1525 7TH STREET NW,,20001,"Zacchaeus Free Clinic,",(202) 265-2400,(202) 561-8587,,,,Intake Number NW,Intake Number SE,,,,(202) 574-1536,http://www.breadforthecity.org,,"1:00 pm - 4:00 pm, Mondays","Low-income, DC residents (for legal problems related to employment attend the walk-in Worker's Rights Clinics at either center)",,Walk-In,"English; Spanish",District of Columbia,All documentation relevant to the case,"Metro Rail Stop:  Shaw/ Howard University (Green Line), 1 1/2 blocks; Metro Bus Route: 70",Free Parking,NW,"Other,",,,,,"Indoor Wheelchair, Elevators or None Needed",1,,Elizabeth Campbell,Legal Clinic Director,,"Operates two legal clinics, one out of each of the centers in NW and SE. Represent clients in landlord-tenant disputes, those who have been denied Social Security disability benefits, advocates in fair hearings for other public benefits and represent cli",297622,Advocacy
-76.981056833776606,38.866208121719097,13,DCAP0016AB,DCAP0016,Bread for the City - Clothing Room,1640 GOOD HOPE ROAD SE,,20020,Zacchaeus Free Clinic,(202) 561-8587,,,,,Intake Number,,,,,(202) 574-1536,http://www.breadforthecity.org,info@breadforthecity.org,"9:00 am - 12:00 pm and 1:00 pm - 4:00 pm, Monday - Friday",,No fee,"Walk-In , Referral required  for interview clothing","English; Spanish",District of Columbia,Picture ID,,,SE,"No Payment,",,,,,"Designated Parking, Indoor Wheelchair, Elevators or None Needed",1,,Ted Pringle,Director of Food and Clothing,,Provides clothing to all residents of DC.  Clients can come every other day and take an unlimited amount of clothing.  Also provides business clothing.  Referral needed for interview clothing.,286380,Clothing
-76.981056833776606,38.866208121719097,14,DCAP0016AC,DCAP0016,Bread for the City - Food Program SE,1640 GOOD HOPE ROAD SE,,20020,Zacchaeus Free Clinic,(202) 561-8587,(202) 265-2400,,,,SE Site Number,NW Site Number,,,,(202) 574-1536,http://www.breadforthecity.org,bread@mindspring.com,"9:00 am - 4:00 pm, Monday - Friday","Must live in NW, SW or SE Washington, DC and be elderly (60 or older), disabled, or parent with children between 1 and 17",No fee,Walk-In,"English; Spanish","NW, SW and SE","Social Security card ; Picture ID; Proof of residence; Last paycheck stub; or other proof of income, proof of disability",Metro Bus Route: A-8,,SE,"No Payment,",Anytime,,,,"Designated Parking, Indoor Wheelchair, Elevators or None Needed",1,,Ted Pringle,Director of Food and Clothing,,"Provides food once a month to residents of SW, SE and NW Washington, DC who are elderly, disabled or parents with children between 1 and 17.  Provides a supplemental food bag that should last 2-3 days.  The amount of food distributed is based on the fami",286380,Food-Emergency Assistance
-77.021627246248372,38.910339433449558,15,DCAP0016AD,DCAP0016,Bread for the City - Jane Addams Program,1525 7TH STREET NW,,20001,Zacchaeus Free Clinic,(202) 265-2400,,,,,Intake Number,,,,,(202) 745-1081,http://www.breadforthecity.org,bread@mindspring.com,"9:00 am - 4:00 pm, Monday - Friday",,No fee,"By Appointment, Walk-In","English; Spanish",District of Columbia,"Social Security card; Picture ID; Proof of dependents","Metro Rail Stop: Shaw-Howard University (Green Line); Metro Bus Route: 70",,NW,"No Payment,",,,,,"Designated Parking, Indoor Wheelchair, Elevators or None Needed",1,,Tracy Knight,Northwest Social Services Director,,"Helps clients apply for food stamps, SSI, Medicaid, and other public benefits.  Counsels individuals coping with depression, substance abuse and family problems.  Provides case management services to clients to manage multiple services and needs.  Casewo",297622,Food Stamps
-77.021627246248372,38.910339433449558,16,DCAP0016AE,DCAP0016,Bread for the City - Medical Clinic,1525 7TH STREET NW,,20001,Zacchaeus Free Clinic,(202) 265-2400,,,,,Main Number,,,,,(202) 518-0545,http://www.breadforthecity.org/,breadz@mindspring.com,"9:00 am - 5:00 pm, Monday, Wednesday, Friday;  9:00 am-9:00 pm, Tuesday, Thursday; 9:00 am-1:00 pm, Saturday",Patients without health insurance only,No fee,By Appointment,"English; Spanish",District of Columbia,"Social Security card ; Picture ID; Last paycheck stub; Proof of residence; Proof of disability and dependents","Metro Rail Stop:  Shaw-Howard University (Green Line);  Metro Bus Route:  70",,NW,"No Payment,",,,,,"Designated Parking, Indoor Wheelchair, Elevators or None Needed",1,,Dr. Randi Abramson,Medical Clinic Director,,"Offers the following clinics: adult general medicine, pediatrics, OB/GYN, dermatology and free job physicals.  Treats ailments including hypertension, diabetes, cancer, STDS, infections, asthma, ulcers, and arthritis.  Provides medications, immunizations",297622,Cancer
-77.013353051715882,38.905387342156509,17,DCAP0017AA,DCAP0017,Bright Beginnings - Child Development Program,128 M STREET NW,,20001,BBI,(202) 842-9090,,,,,Intake Number,,,,,(202) 842-9095,,,"7:00 am - 6:00 pm, Monday - Friday","Ages 6 weeks - 5 years, Children from families that reside in transitional housing or shelters",No fee,By Appointment,,District of Columbia,"Social Security card, Picture ID, Birth Certificate, Proof of residence","Near the intersection of New York and New Jersey Avenue.  Metro Rail Stop: Union Station; Metro Bus Route: 96,  P6",No transportation provided,NW,"No Payment,",,,,,"Designated Parking, Outside Ramps",1,,Betty Jo Gaines,Executive Director,,Offers a full day child development program for homeless children between the ages of 6 weeks and 5 years who live in the District. ,279016,Homeless-Youth
-77.033375303059046,38.899840856237908,18,DCAP0018AA,DCAP0018,Center for the Child Care Workforce - Worthy Wage Campaign,733 15TH STREET NW,Suite 1037,20005,,(202) 737-7700,,,(800) 879-6784,,General Information,,, Worthy Wage Campaign,,,http://www.ccw.org,CCW@CCW.ORG,"9:00 am - 5:00 pm, Monday - Friday",None,No fee,Telephone,English,District of Columbia,None,"Metro Rail Stop:  McPherson Square (Red Line), 2 blocks from Metro",None,NW,"No Payment,",,,,,"Outside Ramps, Elevators or None Needed",1,,Marcy Whitebrook,Executive Director,,"Mobilizes and reverses the child care staffing crisis.  Fosters respect and promotes accessible and affordable high-quality early care and education to meet the diverse needs of children and families.  Provides resources, guidance and technical assistanc",279921,Childcare-Infants
-76.995297037690989,38.89503641439115,19,DCAP0019AA,DCAP0019,Capitol Hill Crisis Pregnancy Center,713 MARYLAND AVENUE NE,,20002,Capitol Hill Pregnancy Center,(202) 546-1018,(202) 546-1019,,(800) 395-4357,,Main Number,Alternative Number,,Toll free Number,,(202) 547-8145,,capitolhillpc@starpower.net,"9:00 am - 4:00 pm, 7:00 pm - 9:00 pm, Monday - Friday; 10:00 am - Noon, Saturday",,No fee,"Telephone, By Appointment; Walk-In",English,District of Columbia,Birth Certificate,"Metro Rail Stop: Union Station (Red LIne), 8 blocks; Metro Bus Route: 90",,NE,"No Payment,",Anytime,,,,"Designated Parking, Other",1,,Barbara Johnson,Executive Director,,"Offers intervention and abortion alternatives for women facing crisis pregnancy.  Prepares and trains parents through education for pregnancy, birth and beyond.  Teaches sexual abstinence to school and youth groups.  Provides support, shelter referrals f",303293,Pregnancy Testing
-77.036914556575141,38.910981771909078,20,DCAP0020AA,DCAP0399,Rebuilding Together - Rebuilding Together DC,1536 16TH STREET NW,,20036,"Christmas in April, DC",(202) 483-9083,,,(800) 473-4229,,Main Number,,,Toll-Free Number,1-800-4-REHAB9 (Toll-Free Number),(202) 244-9551,http://www.rebuildingtogether.org,cinadc@aol.com,"10:00 am - 5:00 pm, Monday - Friday","DC Residents, who are low-income and elderly, disabled, or families with children and unable to do the work themselves",No Fee,"Telephone (for application), By Referral, Self-Referral",English,District of Columbia,"Proof of Homeownership, Verification of Income",,,NW,"No Payment,",,,,,,1,,Janice T. Stango,Executive Director,,"Works with volunteers from the community to rehabilitate low-income housing, particularly for families with young children or homeowners who are elderly and/or disabled.  Also makes repairs to a limited number of non-profit facilities serving low-income ",225767,Seniors
-77.037265119729469,38.936435755276321,21,DCAP0022AA,DCAP0022,Citiwide Computer Training Center,3636 16TH STREET NW,AS-1  Building 41,20010,The Scholastic Place Program,(202) 667-3719,,(202) 255-2086,,,Main Number,,Administrative Number,,,(202) 667-0554,,Citiwide@worldnet.att.net  or  Citiwide@juno.com,"5:00 pm - 9:00 pm, Monday - Friday",,"No fee when funded; flat fee depending on program.","Telephone, By Appointment, Walk-In",English,District of Columbia,"Proof of residence, Written parental permission, Social Security card, Picture ID","Metro Rail Stop:  Green Line 10 blocks from U street NW; Metro Bus:  S2, S4, S5 in front of building",,NW,"Other,",,,,28,"Designated Parking, Outside Ramps, Elevators or None Needed",1,,Anthony Chuukwu,Executive Director,,"Provides computer-based educational program, business software training (Windows, Microsoft products - Word, Excel, Powerpoint, Access, Outlook), job training, and life skills.  Also provides programs for students in school, after school programs, and su",243225,Training-Computer
-77.006675155183956,38.916017759254657,22,DCAP0024AA,DCAP0024,City Lights School,62 T STREET NE,,20002,City Light's,(202) 832-4366,,,,,Main Number,,,,,(202) 832-3654,http://www.citylightsschool.org,rlpet@aol.com,"8:30 am - 3:00 pm, Monday - Friday, 8:30 am - 1:00 pm, Wednesday; 3:00 pm - 7:00 pm, Monday, Tuesday, Thursday, Friday (After-school pro","Ages 12 - 22, referral required",DCPS pays tuition for students placed through its Dept. of Special Education.,"By Appointment, referrals required from DCPS, YSA or non-public day programs","English; One member of clinical staff speaks Spanish",District of Columbia,"Social Security card; Birth Certificate; Proof of residence; School Records; Health Certificate; Assessments; Referrals","Metro Rail: Rhode Island Ave, 7 blocks, Union Station; Bus Routes: #80, 2 blocks, #90, 4 blocks, P2 from Rhode Island, 1 block",Home visits and outreach services for students not attending regularly and parents physically unable to come to the school,Ec,"No Payment,",Anytime,,,,"Designated Parking, Outside Ramps",1,,Ron Pettiway,Executive Director,,"Uses a unique curriculum and a gifted staff of teachers, clinicians, vocational counselors, and administrators to help youth develop the academic and social skills needed to lead healthy, productive and independent lives.  Provides educational, clinical ",299982,Education-Special
-77.02650184236893,38.904472643172888,23,DCAP0023AA,DCAP0023,Chinatown Service Center - After School Program,1011 L STREET NW,,20001,,(202) 898-0061,(202) 289-3611,(202) 637-9852,,,Service Center,"After Hours Number,Tues, Thurs, Friday",Church Number,,,(202) 898-2519,http://www.geocities.com/Tokyo/Fuji/5609/ComService/,CCCMVP@JUNO.COM,"Office:  9:00 am - 5:00 pm, Monday - Thursday; 10:00 am - 2:00 pm, Friday; Program:  3:15 pm - 5:00 pm, Tuesday, Thursday, Friday","Open to students of Thompson Elementary School, specifically Asian and Pacific Islanders",No fee,"Telephone, By Appointment; Walk-In   Ask for the person in charge or worker.","English; Chinese-Mandarin; Cantonese; Fujinese; Tagalog",District of Columbia,None,"Metro Rail Stop:  Gallery Place  4 blocks to Metro; Metro Bus Route:  K Street or 9th Street",None,NW,"No Payment,",,,,,"Indoor Wheelchair, Elevators or None Needed",1,,John Lem,Director,,"Assists youths from the Thomson Elementary School with improving and maintaining their knowledge of Chinese culture and language.  Includes language class, counseling, recreation, and homework study.",239354,Cultural Awareness
-77.029192071899047,38.90659139682878,24,DCAP0047AA,DCAP0047,Health Services - Certified Nursing Assistant & Home Health Aide,1225 13TH STREET NW,,20005,CNA and HHA Training,(   )    -,,(301) 565-9400,,,,,Administrative Number,,,(202) 289-6314,,,"8:30 am - 5:00 pm, Monday - Friday","Age 18 or older; physically able; health screening required; payment method; ability to read and write at 6th grade level.","Flat fee: $1000 for CNA; $400 for HHA","Walk-In, By Appointment",English,District of Columbia,Free of communicable disease statement,"Metro Rail Stop:  McPherson Square (Red Line), 4 blocks;  Metro Bus Route:  1 block",,NW,"Other,",,,,,"Indoor Wheelchair, Outside Ramps",1,,"Dennis Lewis, MSW",Director of Operations,,Provides training for Certified Nursing Assistant and Home Health Aide.  Job placement opportunities are available.  Program features small class size and convenient downtown location.   ,226418,Employment-Training
-77.040008541380217,38.924193634763355,25,DCAP0025AA,DCAP0025,Ayuda - Immigration Legal Services,1736 COLUMBIA ROAD NW,,20009, Ayuda Para El Consumidor,(202) 387-4848,(202) 387-2840,(202) 397-4848,,,Intake Number,Additional Intake Number,Administrative Number,,,(202) 387-0324,http://www.ayudainc.org,immayuda@erols.com,"Monday & Thursday (9:00 am for consultation, the first 25 people in line are accepted)",District of Columbia residents,$15 to see attorney,"Walk-In (immigration clients must first come on Monday or Thursday at 9:00 am to speak with an attorney, the first 25 people are accepted to receive a consultation)","Spanish, French, English, Chinese",Metropolitan Washington Area,Bring documents which pertain to case,"Metro Rail Stop:  Woodley Park, 12 min walk, Dupont Circle, 20 min walk, Columbia Heights, 15 min walk; Metro Bus Route:  #42",None,NW,"No Payment,",Anytime,,,,Indoor Wheelchair,1,,Yvonne Martinez Vega,Executive Director,,"Provides immigration legal services to DC residents needing political asylum, naturalization, work authorization, family petitions, adjustment of status, suspension of deportation/cancellation of removal and self-petitioning for battered immigrants.  ",235733,Immigration
-77.013299225549844,38.895511573694307,26,DCAP0026AA,DCAP0026,Clean and Sober Streets,425 2ND STREET NW,,20001,"CSS, DC Central Kitchen - First Helping, Clean & Sober Streets",(202) 783-7343,,(202) 347-5476,,,Main Office Number,,After Hours Desk Phone Number,,,(202) 628-1183,,,"Office Hours:  8:00 am - 5:00 pm, Monday - Saturday; Program Hours:  Open 24 hours","No Methadone or other narcotics allowed, Must have the willingness to recover","No fee; Free of charge to the homeless or those with a criminal record.",By Appointment,Spanish,District of Columbia,,Metro Rail Stop: 1/2 block from Judiciary Square and Union Station  (Red Line),,NW,"No Payment,",,,,90,,1,,Julia Lightfoot,Executive Director,,"Provides a year long residential treatment continuum that includes:  detoxification substance treatment/rehabilitation, aftercare treatment, vocational and educational rehabilitation (GED, computer literacy, job readiness, job referral, job/apprenticeshi",299726,Substance Abuse Services
-77.040008541380217,38.924193634763355,27,DCAP0025AB,DCAP0025,Ayuda - Hermanas Unidas Domestic Violence Program,1736 COLUMBIA ROAD NW,,20009,Ayuda Para El Consumidor,(202) 387-4848,(202) 387-2840,,,,Intake Number,Additional Number,,,,(202) 387-0324,http://www.ayudainc.org,immayuda@erols.com,"9:00 am - 5:00 pm, Monday - Friday",Survivors of domestic violence,No Fee,"Telephone, Walk-In","Spanish, French, English, Chinese",District of Columbia,None,"Metro Rail Stop:  Woodley Park, 12 min walk, Dupont Circle, 20 min walk, Columbia Heights, 15 min walk; Metro Bus Route:  #42",None,NW,"Other,",Anytime,,,,Indoor Wheelchair,1,,Yvonne Martinez Vega,Executive Director,,"Provides support and advocacy services to Latina survivors of domestic violence, through leadership development and empowerment program.  Educates the community about domestic violence and assists members in improving self-esteem and public speaking abil",235733,Immigrant Services
