victim_age,victim_gender,victim_race,date_of_incident,city,state,zipcode,county,agency,cause_of_death,symptoms_of_mental_illness,unarmed,alleged_weapon,alleged_threat_level,fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Male,White,6/9/16,Ishpeming,MI,49849,Marquette,Marquette County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Unknown race,6/9/16,Somerton,AZ,85364,Yuma,US Customs and Border Protection,Gunshot,No,Allegedly Armed,baton,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,White,6/9/16,Birmingham,AL,35233,Jefferson,Irondale Police Department,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,Hispanic,6/8/16,Kansas City,MO,64128,Jackson,U.S. Drug Enforcement Administration,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Male,Black,6/7/16,Culpeper,VA,22701,Culpeper,Culpeper County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Male,White,6/7/16,Orland,CA,95963,Glenn,California Highway Patrol,Vehicle,No,Vehicle,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Male,Hispanic,6/7/16,Turlock,CA,95380,Stanislaus,Modesto Police Department,Gunshot,No,Vehicle,vehicle,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,White,6/7/16,Wagoner,OK,74467,Wagoner,Wagoner Police Department,Gunshot,No,Unarmed,none,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Male,White,6/7/16,Stockbridge,GA,30281,Henry,Henry County Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Hispanic,6/6/16,Hilo,HI,96720,Hawaii,Hawaii Police Department,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Black,6/6/16,Columbus,OH,43211,Franklin,Columbus Division of Police,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Female,White,6/5/16,Battle Creek,MI,49014,Calhoun,Calhoun County Sheriff's Office,Gunshot,No,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,White,6/5/16,Cape Coral,FL,33914,Lee,Cape Coral Police Department,Gunshot,No,Allegedly Armed,gun,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,Black,6/4/16,Eufaula,AL,36027,Barbour,Eufaula Police Department,Gunshot,No,Allegedly Armed,gun,attack,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Unknown race,6/4/16,Montague,CA,96064,Siskiyou,California Highway Patrol,Gunshot,Unknown,Unclear,undetermined,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,White,6/4/16,Muncie,IN,47302,Delaware,Muncie Police Department,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Native American,6/3/16,Pine Ridge,SD,57770,Oglala Lakota,Pine Ridge Tribal Police Department,Gunshot,Unknown,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,White,6/3/16,Palmer,AK,99645,Matanuska Susitna,Alaska State Troopers,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,Native American,6/3/16,Parker,AZ,85344,La Paz,Colorado River Indian Tribes Police Department,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,Black,6/2/16,Norfolk,VA,23504,Norfolk City,Norfolk Police Department,Gunshot,Yes,Unclear,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Male,White,6/2/16,Hazard,KY,41701,Perry,Kentucky State Police,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Male,Black,6/2/16,Charlotte,NC,28262,Mecklenburg,Charlotte-Mecklenburg Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Male,Black,6/1/16,Newnan,GA,30265,Coweta,Coweta County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,White,6/1/16,Phoenix,AZ,85035,Maricopa,Phoenix Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Male,White,6/1/16,Berea,KY,40403,Madison,Madison County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Male,Unknown race,5/31/16,Phoenix,AZ,85027,Maricopa,Phoenix Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Male,White,5/31/16,Bend,OR,97702,Deschutes,Oregon State Police,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,Black,5/30/16,Tucson,AZ,85712,Pima,Tucson Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Male,White,5/30/16,Tualatin,OR,97062,Washington,Tualatin Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Male,White,5/29/16,Stoneville,NC,27048,Rockingham,Rockingham County Sheriff's Department,"Gunshot, Taser",No,Unarmed,none,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Hispanic,5/29/16,Houston,TX,77079,Harris,Houston Police Department,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Male,White,5/29/16,Deland,FL,32763,Volusia,Volusia County Sheriff's Office,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Male,White,5/29/16,Winston-Salem,NC,27104,Forsyth,North Carolina Highway Patrol,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Male,White,5/29/16,Greenwood,IN,46142,Johnson,Greenwood Police Department,Taser,Yes,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Male,White,5/29/16,Clinton,NC,28328,Sampson,"Clinton Police Department, North Carolina State Highway Patrol",Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Male,White,5/28/16,Albuquerque,NM,87110,Bernalillo,Albuquerque Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Male,Hispanic,5/28/16,San Antonio,TX,78211,Bexar,San Antonio Police Department,Taser,Unknown,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Male,Black,5/28/16,Tulsa,OK,74128,Tulsa,Tulsa Police Department,Taser,Drug or alcohol use,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Male,Black,5/28/16,Eastaboga,AL,36260,Calhoun,Lincoln AL Police Department,Gunshot,Unknown,Unclear,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Male,White,5/27/16,Indianapolis,IN,46225,Marion,Indiana State Police,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,White,5/26/16,Lansing,IL,60438,Cook,Lansing Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Male,Black,5/26/16,Washington Park,IL,62204,Saint Clair,"U.S. Marshals Service, Caseyville Police Department",Gunshot,No,Unclear,undetermined,undetermined,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Hispanic,5/26/16,Socorro,NM,87801,Socorro,New Mexico State Police,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Male,Hispanic,5/26/16,Solvang,CA,93463,Santa Barbara,California Highway Patrol,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,White,5/26/16,St. Paul,MN,55119,Ramsey,St. Paul Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Female,White,5/26/16,Sneads,FL,32460,Jackson,Sneads Police Department,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Male,Unknown race,5/26/16,San Antonio,TX,78227,Bexar,San Antonio Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,White,5/25/16,Oklahoma City,OK,73106,Oklahoma,Oklahoma City Police Department,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,Black,5/25/16,Miami Gardens,FL,33056,Miami-Dade,Florida Highway Patrol,Gunshot,No,Vehicle,vehicle,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Male,White,5/24/16,Peculiar,MO,64078,Cass,Cass County Sheriff's Office,Gunshot,No,Allegedly Armed,taser,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Hispanic,5/24/16,Albuquerque,NM,87123,Bernalillo,U.S. Marshals Service,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,White,5/24/16,Gresham,OR,97233,Multnomah,Gresham Police Department,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Male,Native American,5/23/16,Flagstaff,AZ,86001,Coconino,"Flagstaff Police Department, Northern Arizona University Police Department",Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,White,5/22/16,Boulder,CO,80302,Boulder,Boulder Police Department,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,Hispanic,5/22/16,Oxford,MA,1542,Worcester,Auburn Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Black,5/22/16,Jacksonville,FL,32206,Duval,Jacksonville Sheriff's Office,Gunshot,No,Unarmed,none,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Male,Black,5/22/16,Hallandale Beach,FL,33009,Broward,Hallandale Beach Police Department,Gunshot,No,Unarmed,none,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Male,White,5/21/16,Oregon City,OR,97045,Clackamas,Oregon City Police Department,Gunshot,Yes,Unarmed,none,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Native American,5/21/16,Flagstaff,AZ,86004,Coconino,Coconino County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Male,White,5/21/16,Statesville,NC,28677,Iredell,Statesville Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Male,White,5/21/16,Chesterfield,SC,29709,Chesterfield,"Florence County Sheriff's Office, South Carolina Law Enforcement Division",Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,White,5/20/16,Phoenix,AZ,85013,Maricopa,Phoenix Police Department,Physical restraint,Unknown,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Black,5/20/16,Omaha,NE,68116,Douglas,Omaha Police Department,Gunshot,Unknown,Allegedly Armed,knife,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,Hispanic,5/19/16,Citrus Heights,CA,95610,Sacramento,Citrus Heights Police Department,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Black,5/19/16,Miami,FL,33147,Miami-Dade,Miami-Dade Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Male,Hispanic,5/19/16,North Las Vegas,NV,89030,Clark,Las Vegas Metropolitan Police Department,Gunshot,Unknown,Unarmed,none,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Female,Black,5/19/16,San Francisco,CA,94124,San Francisco,San Francisco Police Department,Gunshot,No,Unarmed,none,undetermined,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Male,White,5/19/16,Fisty,KY,41740,Knott,Kentucky State Police,Gunshot,Drug or alcohol use,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,Black,5/18/16,Minneapolis,MN,55411,Hennepin,Minneapolis Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Male,Hispanic,5/18/16,Phoenix,AZ,85339,Maricopa,Phoenix Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Male,White,5/18/16,West Sullivan,MO,65441,Crawford,Missouri State Highway Patrol,Gunshot,No,Allegedly Armed,gun,attack,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Male,White,5/18/16,New York,NY,10019,New York,New York Police Department,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Male,White,5/17/16,Fountain,CO,80817,El Paso,Fountain Police Department,Physical restraint,Unknown,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Male,White,5/17/16,Montague,CA,96064,Siskiyou,Siskiyou County Sheriff's Office,Gunshot,Yes,Allegedly Armed,Ax,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Black,5/16/16,Riverdale,GA,30296,Clayton,Clayton County Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Male,White,5/16/16,Fall River,MA,2724,Bristol,Fall River Police Department,Taser,No,Unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Female,White,5/16/16,Hot Springs,AR,71901,Garland,Hot Spring County Sheriff's Office,Vehicle,No,Vehicle,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Female,White,5/16/16,Hot Springs,AR,71901,Garland,Hot Spring County Sheriff's Office,Vehicle,No,Vehicle,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,White,5/15/16,Golconda,IL,62938,Pope,"FBI, Illinois State Police",Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Male,White,5/14/16,Jacksonville,FL,32202,Duval,Jacksonville Sheriff's Office,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,White,5/14/16,Stockbridge,GA,30281,Henry,Henry County Police Department,"Gunshot, Taser",Yes,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,Native American,5/14/16,Phoenix,AZ,85009,Maricopa,Phoenix Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Male,White,5/14/16,Osteen,FL,32764,Volusia,Volusia County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Male,White,5/13/16,Union,NJ,7083,Union,Newark Police Department,Gunshot,Drug or alcohol use,Unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Hispanic,5/13/16,Los Angeles,CA,90023,Los Angeles,Los Angeles Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Female,Hispanic,5/13/16,Mascotte,FL,34753,Lake,Lake County Sheriff's Office,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Male,Black,5/12/16,Birmingham,AL,35206,Jefferson,Birmingham Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,White,5/11/16,Aurora,CO,80015,Arapahoe,Aurora Police Department,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,Black,5/11/16,Evans,CO,80620,Weld,Greeley Police Department,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,Asian,5/11/16,San Diego,CA,92114,San Diego,San Diego Police Department,Gunshot,No,Vehicle,vehicle,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Male,White,5/11/16,Byng,OK,74820,Pontotoc,Pontotoc County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Male,Black,5/11/16,Grafton,WI,53024,Ozaukee,"Grafton Police Department, Saukville Police Department",Gunshot,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Black,5/10/16,Taunton,MA,2780,Bristol,Plymouth County Sheriff's Department,Gunshot,Yes,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Female,White,5/10/16,Kennedale,TX,76140,Tarrant,Tarrant County Sheriff's Office,Taser,Yes,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Male,White,5/9/16,Chicago,IL,60632,Cook,Chicago Police Department,Gunshot,No,Allegedly Armed,gun,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,White,5/9/16,Biloxi,MS,39532,Harrison,Jackson County Sheriff's Office,Gunshot,Drug or alcohol use,Unarmed,none,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,White,5/9/16,Nacogdoches,TX,75961,Nacogdoches,"Nacogdoches County Sheriff's Office, Texas Department of Public Safety",Gunshot,Yes,Allegedly Armed,gun,attack,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,Black,5/9/16,El Paso,TX,79934,El Paso,El Paso Police Department,Gunshot,No,Unarmed,toy,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Male,Unknown race,5/9/16,Fort McCoy,FL,32134,Marion,Marion County Sheriff’s Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Male,White,5/9/16,Port St. Lucie,FL,34983,St. Lucie,Port St. Lucie Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,Black,5/9/16,St. Paul,MN,55117,Ramsey,St. Paul Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Male,White,5/8/16,Cromwell,OK,74859,Okfuskee,Oklahoma Highway Patrol,Vehicle,No,Vehicle,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Female,White,5/8/16,Decatur,IL,62526,Macon,Illinois State Police,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Male,Black,5/8/16,Long Beach,CA,90806,Los Angeles,Long Beach Police Department,Gunshot,No,Unarmed,toy,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,Unknown race,5/7/16,Presque Isle,ME,4769,Aroostook,Presque Isle Police Department,"Gunshot, Taser",Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,White,5/7/16,Lake Stevens,WA,98258,Snohomish,Snohomish County Sheriff’s Office,Gunshot,Yes,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Male,White,5/7/16,Norfolk,VA,23508,Norfolk City,Norfolk Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Male,Black,5/7/16,Saint Petersburg,FL,33712,Pinellas,Pinellas County Sheriff’s Office,Gunshot,No,Allegedly Armed,gun,attack,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,Black,5/6/16,Weirton,WV,26062,Hancock,Weirton Police Department,Gunshot,Yes,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Male,Black,5/5/16,Milwaukee,WI,53218,Milwaukee,Milwaukee Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Male,White,5/5/16,Gretna,LA,70053,Jefferson,Gretna Police Department,Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Female,Black,5/5/16,Orlando,FL,32808,Orange,Orange County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Male,White,5/4/16,Philadelphia,PA,19151,Philadelphia,Philadelphia Police Department,Gunshot,No,Vehicle,vehicle,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Male,White,5/4/16,Burien,WA,98166,King,King County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Male,Unknown race,5/4/16,Temecula,CA,92592,Riverside,Temecula Police Department,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,White,5/4/16,Buffalo,MO,65622,Dallas,"Missouri State Highway Patrol, Dallas County Sheriff's Department, Buffalo Police Department",Gunshot,Unknown,Unclear,undetermined,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Male,Unknown race,5/3/16,Ocean City,MD,21842,Worcester,Ocean City Police Department,Vehicle,No,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Male,White,5/3/16,Visalia,CA,93292,Tulare,Visalia Police Department,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Male,Black,5/2/16,Taylors,SC,29687,Greenville,Greenville County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Male,Black,5/1/16,Anderson,SC,29621,Anderson,Anderson Police Department,Taser,Drug or alcohol use,Allegedly Armed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,White,5/1/16,Alamo,TN,38001,Crockett,"Crockett County Sheriff's Office, Maury City Police Department",Gunshot,Yes,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Black,5/1/16,Orlando,FL,32805,Orange,Orlando Police Department,Gunshot,No,Unarmed,toy,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Male,White,4/30/16,San Tan Valley,AZ,85143,Pinal,"Pinal County Sheriff's Office, Maricopa County Sheriff's Office",Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Hispanic,4/30/16,Los Angeles,CA,91343,Los Angeles,Los Angeles Police Department,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,White,4/30/16,Spanish Fork,UT,84660,Utah,Utah County Sheriff's Office,Gunshot,No,Allegedly Armed,knife,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Male,White,4/30/16,Wasau,WI,54403,Marathon,Wausau Police Department,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
