name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,hotline_prompt,hotline1,hotline2,website,dir_prefix,dir_first,dir_mi,dir_last,dir_suffix,dir_title,dir_phone,dir_fax,dir_email,mail_street1,mail_street2,mail_city,mail_state,mail_zip,mail_zip4,latitude,longitude,type_facility,last_update,saf,mhf,mhsaf,ghf,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,onat,np,sf,md,mc,si,pi,mi,ihs,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo 
Central East Alcohol and Drug Council,All Alc/Substance Abuse Progs on Site,635 Division Street,,Charleston,IL,61920,,Coles,217-348-8108,,,,Hotline,(217) 348-8108,,http://www.ceadcouncil.org,Dr,Pamela,P,Irwin,PhD,Executive Director,,,,,,,,,,39.4928409,-88.1817641,SA,2/1/17 17:30,1,,,,1,1,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,1,,,1,1,1,1,1,,,,1,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,1,,1,1,1,,1,1,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,,,1,
"Dr. Abdel R. Fahmy, M.D.",,Soft Landing Interventions,"1601 Bond Street, Suite 201",Naperville,IL,60563,,DuPage County,(630)261-9220,,,,,,,,Dr.,Abdel,R.,Fahmy,M.D.,,(630)261-9220,(630)689-1786,,Soft Landing Interventions,"1601 Bond Street, Suite 201",Naperville,IL,60563,,41.7985,-88.2026,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Rizwana  Mughal, M.D.",,Soft Landing Recovery,"1601 Bond Street, Suite 201",Naperville,IL,60563,,DuPage County,(630)261-9220,,,,,,,,Dr.,Rizwana,,Mughal,M.D.,,(630)261-9220,(630)689-1786,,Soft Landing Recovery,"1601 Bond Street, Suite 201",Naperville,IL,60563,,41.7985,-88.2026,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Sabiha  Samee, M.D.",,1601 Bond Street,Suite 201,Naperville,IL,60563,,DuPage County,(630)261-9220,,,,,,,,Dr.,Sabiha,,Samee,M.D.,,(630)261-9220,(630)689-1786,,1601 Bond Street,Suite 201,Naperville,IL,60563,,41.7985,-88.2026,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Rizwana  Mughal, M.D.",,Soft Landing Recovery,"1601 Bond Street, Suite 201",Naperville,IL,60563,,DuPage County,(630)261-9220,,,,,,,,Dr.,Rizwana,,Mughal,M.D.,,(630)261-9220,(630)689-1786,,Soft Landing Recovery,"1601 Bond Street, Suite 201",Naperville,IL,60563,,41.7985,-88.2026,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Soft Landing Interventions,,1601 Bond Street,Suite 201,Naperville,IL,60563,,DuPage,630-261-9220,,,,,,,http://www.softlandingrecovery.com,,Abdel,,Fahmy,,President,630-261-9220,,,,,,,,,41.7985336,-88.2026271,SA,2/1/17 17:30,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,1,,,,1,,,,1,1,,1,,,,1,,,1,,,,,,,1,,,,,1,,,,,,1,1,,1,1,,,,,1,1,1,,,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,
Timberline Knolls,Residential Treatment Center,40 Timberline Drive,,Lemont,IL,60439,,Cook,630-257-9600,Intake,877-257-9611,,,,,http://www.timberlineknolls.com,Dr,William,,Parsons,PhD,CEO,,,,,,,,,,41.6701505,-88.0119718,SA,2/1/17 17:30,,,1,,1,,,,,,,,,1,1,,,1,1,,,,,,,1,1,1,1,,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,,1,,1,,,,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,,,,,
"Dr. Kimberly Dawn Dennis, M.D.",,40 Timberline Drive,,Lemont,IL,60439,,Cook County,(630)343-2332,,,,,,,,Dr.,Kimberly,Dawn,Dennis,M.D.,,(630)343-2332,(630)243-1491,,40 Timberline Drive,,Lemont,IL,60439,,41.6702,-88.012,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Sandeep  Gaonkar, M.D.",,1560 Wall Street,Suite 304-329,Naperville,IL,60563,,DuPage County,(630)416-8289,,,,,,,,,Sandeep,,Gaonkar,M.D.,,(630)416-8289,(630)416-8306,,1560 Wall Street,Suite 304-329,Naperville,IL,60563,,41.7974,-88.2002,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Rakesh  Marwaha, M.D.",,640 South Washington Street,Suite 380,Naperville,IL,60540,,DuPage County,(630)527-6390,,,,,,,,,Rakesh,,Marwaha,M.D.,,(630)527-6390,(630)527-6392,,640 South Washington Street,Suite 380,Naperville,IL,60540,,41.7665,-88.148,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABBCON Counseling,,603 Monroe Street,,Charleston,IL,61920,,Coles,(217) 345-3156,,,,,,,http://www.abbconcounseling.com,,Ashley,,Epperson,,,,,,,,,,,,39.49528201,-88.17563166,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,1,,,1,
Central East Alcohol and Drug Council,Womens Recovery Home,720 4th Street,,Charleston,IL,61920,,Coles,217-348-5444,Intakes,217-348-8651,217-348-8108,Hotline,217-348-8108,,http://www.ceadcouncil.org,,Pamela,P,Irwin,PhD,Executive Director,,,,,,,,,,39.4927622,-88.1773279,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,1,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,1,,1,1,1,,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,,,,1,
Central East Alcohol and Drug Council,Charleston Primary Outpatient Services,726 4th Street,,Charleston,IL,61920,,Coles,217-348-8118,Intake,,217-348-8108,Hotline,217-348-8108,,http://www.ceadcouncil.org,,Pamela,,Irwin,,Executive Director,,,,P.O. Box 532,,Charleston,IL,61920,,39.492446,-88.177272,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,1,,1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,,,1,
"Dr. Elton Wade Dixon, M.D.",,535 South Washington,Suite 22,Naperville,IL,60540,,DuPage County,(630)810-0451,,,,,,,,Dr.,Elton,Wade,Dixon,M.D.,,(630)810-0451,(877)446-3870,,535 South Washington,Suite 22,Naperville,IL,60540,,41.7689,-88.1487,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Christine  Michaud, M.D.",,"Dr. C. Tia Michaud, M.D.","800 West 5th Avenue, Suite 205F",Naperville,IL,60563,,DuPage County,(312)506-8426,,,,,,,,Dr.,Christine,,Michaud,M.D.,,(312)506-8426,(888)842-9577,,"Dr. C. Tia Michaud, M.D.","800 West 5th Avenue, Suite 205F",Naperville,IL,60563,,41.7798,-88.1642,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Frank William Delaurentis, M.D.",,11512 West 183rd Place,Unite NE,Orland Park,IL,60467,,Cook,(708)478-6470,,,,,,,,Dr.,Frank,William,Delaurentis,M.D.,,(708)478-6470,(708)478-6471,,11512 West 183rd Place,Unite NE,Orland Park,IL,60467,,41.5718,-87.8844,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Banyan Treatment Center IL LLC,,50 South Main Street ,Suite 290,Naperville,IL,60540,5484,DuPage,630-842-9676,,,,,,,,,Suzette,,Papadakis,,Clinical Director,954-520-7614,,,,,,,,,41.774601,-88.148861,SA,2/1/17 17:30,1,,,,1,,,,,,,,1,,1,1,,,,,,,1,,,1,1,1,1,1,,1,,,,1,,,,,1,1,1,1,,,,,,1,,,,,,,1,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,1,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,
"Dr. Joseph Mathew Neubauer, ",,1306 Fargo Boulevard,,Geneva,IL,60134,,Kane County,(630)715-4559,,,,,,,,Dr.,Joseph,Mathew,Neubauer,,,(630)715-4559,(773)442-0421,,1306 Fargo Boulevard,,Geneva,IL,60134,,41.8735,-88.3245,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Care Clinics of Naperville Inc,,121 North Washington Street,Suite 100,Naperville,IL,60540,,DuPage,630-357-2012,,,,,,,http://www.careclinicsofnaperville.com,,Stanley,F,Rocush,MS CAADC,,,,,,,,,,,41.7766495,-88.1479213,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,,1,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,,1,,1,1,,,,,1,1,1,,1,1,,1,,,1,,,,,,,1,,1,1,1,1,1,1,,,1,1,,1,,1,,1,1,1,,,1,
" Stephen Robert Holtsford, M.D.",,Delnor Hospital,300 Randall Road,Geneva,IL,60134,,Kane,630-881-5698,,,,,,,,,Stephen,Robert,Holtsford,M.D.,,630-881-5698,,,Delnor Hospital,300 Randall Road,Geneva,IL,60134,,41.8873,-88.3447,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fresh Start DUI and Csl Services Inc,,21020 South 80th Avenue,,Frankfort,IL,60423,9186,Will,888-551-0177,,,,,,,,,Stacey,,Williams,,President/CEO,888-551-0177,,,,,,,,,41.5074272,-87.8100061,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,1,,1,,1,1,1,,,1,
Guiding Light Counseling Inc,,538 East Boughton Road,,Bolingbrook,IL,60440,,Will,630-739-7500,Intake,,630-783-0100,,,,http://www.guidinglightcounseling.org,,Kimberly,,Duris,,Director,,,,,,,,,,41.718317,-88.0497909,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,,1,,1,1,1,1,1,,,1,
"Dr. Barry Edward Rabin, M.D.",,1250 North Mill Street,Suite 100,Naperville,IL,60563,,DuPage County,(630)646-8000,,,,,,,,Dr.,Barry,Edward,Rabin,M.D.,,(630)646-8000,(630)646-8007,,1250 North Mill Street,Suite 100,Naperville,IL,60563,,41.7887,-88.1538,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Naperville Psychiatric Ventures,DBA Linden Oaks Hospital,1335 North Mill Street,Suite 260,Naperville,IL,60563,,DuPage,630-305-5500,Intake,,630-305-5027,,,,http://www.lindenoaks.org,,Gina,,Sharp,,President/Ceo,,,,1335 North Mill Street,Suite 206,Naperville,IL,60563,2522,41.790967,-88.155528,SA,2/1/17 17:30,1,,,,1,1,,,,,,,1,1,1,1,,,,,,,1,,,1,1,1,1,,,1,,,,1,,,,,1,1,1,1,,,,,1,1,,,,,,,1,,,1,1,,,,,,,1,,,1,1,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,1,,,,
Central East Alcohol and Drug Council,Womens Recovery Home,1501 1/2 18th Street,,Charleston,IL,61920,,Coles,(217) 348-5444,Intake,,(217) 348-8108,Hotline,(217) 348-8108,,http://www.ceadcouncil.org,,Pamela,,Irwin,,Director,,,,,,,,,,39.4844684,-88.16053033,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,1,,1,1,1,,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,,,,,
Central East Alcohol and Drug Council,Adolescent Residential Treatment,8500 East County Road 150 North,,Lerna,IL,62440,,Coles,(217) 235-1303,Intake,,(217) 348-8108,Hotlines,(217) 235-1303,(217) 348-8108,http://www.ceadcouncil.org,,Pamela,P,Irwin,PhD,,,,,,,,,,,39.3961003,-88.3126299,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,1,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,1,,1,1,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,1,1,,1,1,1,,1,,1,,,1,1,,,,
Chicago Center for Recovery and,Empowerment NFP,1110 North Washington Street,,Naperville,IL,60563,,DuPage,630-631-9935,,,,,,,http://chicagocenterforrecovery.org,Dr,Subhash,,Goyal,,Director,,,,P.O. Box 471680,,Chicago,IL,60647,972,41.788278,-88.1467234,SA,2/1/17 17:30,,,1,,1,1,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,1,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,1,,1,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,1,1,1,1,1,,1,,1,,,,1,,1,1,1,1,1,,,1,
"Dr. Pradeep  Thapar, M.D.",,10745 165th Street,,Orland Park,IL,60467,,Cook County,(708)799-8384,,,,,,,,Dr.,Pradeep,,Thapar,M.D.,,(708)799-8384,(708)799-1305,,10745 165th Street,,Orland Park,IL,60467,,41.5904,-87.8801,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Nitin  Thapar, ",,10745 165th Street,,Orland Park,IL,60467,,,708-799-8384,,,,,,,,,Nitin,,Thapar,,,708-799-8384,708-799-1305,,10745 165th Street,,Orland Park,IL,60467,,41.5904,-87.8801,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Associates in Behavioral Healthcare ,ABC Recovery Center,524 West State Street  ,2nd Floor,Geneva,IL,60134,2160,Kane,847-791-4384,,,,,,,http://www.associatesinbehavioralhealthcare.com,,Mary ,,Crick,,Administrator,847-791-4384,,,,,,,,,41.8881893,-88.3116699,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,,1,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,1,,1,,,1,,,,1,1,,1,,,1,,,,,,,1,1,1,1,1,1,1,,,1,1,1,,1,,,1,1,1,1,,,,
Professional Consultations Inc,Behavioral Health Counseling Centers,322 West State Street,Suite 110,Geneva,IL,60134,,Kane,800-428-7260,Intake,,630-232-4875,Hotline,800-428-7260,,http://www.professionalconsultations.com,,Douglas,J,Milliman,,Director,,,,,,,,,,41.887546,-88.308432,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,
Care Addiction Treatment Program,,309 Hamilton Street,Suite B,Geneva,IL,60134,,Kane,630-402-0144,,,,,,,http://www.careaddiction.com,Mr,Jake,,Epperly,,,,,,,,,,,,41.889038,-88.308041,SA,2/1/17 17:30,1,,,,1,1,,,,,,,1,1,1,1,,,,,,,,,,1,,1,,1,,1,,,,1,,,,1,1,1,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,1,
Montgomery County Health Department,,11191 Illinois Route 185,,Hillsboro,IL,62049,,Montgomery,217-532-2001,Intake,,217-324-3430,Hotline,888-324-5052,,http://www.montgomeryco.com/health,,Hugh,,Satterlee,,,,,,,,,,,,39.13051576,-89.47347688,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,1,1,1,,,1,,,,,,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,1,1,1,1,1,,,,
Mental Health Centers of Western IL,Pike Site,120 North Williams Industrial Drive,,Pittsfield,IL,62363,1300,Pike,217-285-4436,,,,Hotline,217-285-6111,,http://www.mhcwi.org,,Roxie,,Oliver,,,,,,,,,,,,39.605029,-90.828094,SA,2/1/17 17:30,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,1,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,1,,,,1,,,,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,1,,1,1,1,,,,
"Dr. Anand  Patel, ",,8041 W. 186th Street,Suite B,Tinley Park,IL,60487,,Cook,224-205-7866,,,,,,,,Dr.,Anand,,Patel,,,224-205-7866,224-205-7865,,8041 W. 186th Street,Suite B,Tinley Park,IL,60487,,41.5525,-87.8139,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. John Lowell Zautcke, M.D.",,8041 w 186th st  unit B,,tinley park,IL,60487,,,224-205-7866,,,,,,,,Dr.,John,Lowell,Zautcke,M.D.,,224-205-7866,224-205-7865,,8041 w 186th st  unit B,,tinley park,IL,60487,,41.5525,-87.8139,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Jarrod Seymour Barker, M.D.",,8041 W. 186th Street,Suite B,Tinley Park,IL,60487,,Cook,224-205-7866,,,,,,,,Dr.,Jarrod,Seymour,Barker,M.D.,,224-205-7866,224-205-7865,,8041 W. 186th Street,Suite B,Tinley Park,IL,60487,,41.5525,-87.8139,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
